Name,City,Rating,Price,Reviews,Location,Cleanliness,Communication,Value for Money,Accuracy,Check-in,Guests,TV,Wifi,Free street parking,Privet parking,Refrigerator,Air conditioning,Kitchen,Pets allowd,Dedicated workspace,Security cameras
Charming fully-equipped apt near Farms & Beaches!,Medford,4.94,10058,64,4.9,4.9,5.0,4.9,5.0,5.0,2.0,0,1,0,1,0,0,1,0,0,0
Riverhead room in beautiful Victorian house,Medford,5.0,11987,7,5.0,5.0,5.0,5.0,5.0,5.0,1.0,0,1,0,0,0,0,1,0,0,0
Moon Rise Cottage,Medford,4.94,20709,16,5.0,4.9,4.9,4.9,4.8,4.8,3.0,0,1,0,1,0,0,1,0,0,0
Mermaid cottage,Medford,4.83,33237,41,4.8,4.8,4.9,4.8,4.8,4.9,4.0,0,1,0,0,0,0,1,0,1,0
Adorable guesthouse,Medford,3.86,16567,7,4.4,4.0,4.4,3.7,4.0,4.3,2.0,0,1,0,1,0,0,1,0,1,0
Room #1,Medford,4.76,4349,58,4.7,4.8,4.8,4.9,4.8,4.8,1.0,1,1,0,1,0,0,1,0,1,0
"Bright, Modern Hamptons Home (long-stay discount!)",Medford,4.92,82837,26,4.8,5.0,5.0,4.9,5.0,5.0,11.0,0,1,0,1,0,0,1,1,1,0
Cheerful 5 beds residential home with heated pool!,Medford,5.0,165467,5,4.8,5.0,4.8,4.8,5.0,5.0,12.0,0,1,0,1,0,0,1,0,0,0
New listing: Fun 3 bedroom Villa close to all,Medford,4.9,51773,10,4.8,4.7,5.0,4.9,4.8,5.0,7.0,0,1,0,0,0,0,1,0,1,0
"Quaint, Room for students/interns, near all",Medford,5.0,4349,25,5.0,5.0,5.0,5.0,5.0,5.0,1.0,0,1,0,1,0,0,1,0,1,0
Beautiful Spacious Bright Hamptons Beach House!,Medford,5.0,92260,6,4.7,5.0,5.0,4.8,4.8,5.0,8.0,1,1,0,1,0,0,1,0,1,0
"2-BR Apt, Walk to Aquarium/LIRR",Medford,4.96,18414,281,4.8,5.0,5.0,4.9,5.0,5.0,4.0,0,1,0,1,0,0,0,0,1,0
Juniper Hollow,Medford,4.64,11977,119,4.8,4.6,4.8,4.7,4.8,4.8,2.0,0,1,0,1,0,0,1,0,0,0
Barn on the Bay for a Quiet Stay,Medford,4.81,34412,26,5.0,4.5,4.9,4.8,4.7,4.8,4.0,0,1,0,1,0,0,0,1,1,0
RJB Rooms Patchogue & beaches room1,Medford,4.48,7814,76,4.7,4.2,4.9,4.6,4.6,4.9,2.0,0,0,0,1,0,0,1,0,1,0
Hamptons Style Cottage close to everything!,Medford,4.95,54762,21,4.9,5.0,5.0,4.9,5.0,5.0,6.0,0,1,0,0,0,0,1,0,1,0
"Upper Loft Room near ALL-Private, Spacious, Comfy",Medford,4.8,5074,10,4.9,4.5,4.9,4.7,4.9,5.0,1.0,0,1,0,1,0,0,1,0,1,0
Modern Farmhouse Steps to Beach & Love Lane,Medford,4.92,51670,38,5.0,4.9,5.0,4.8,5.0,5.0,4.0,0,1,0,1,0,0,1,1,0,0
"Clean, Private Entry Full bd~Frig,Micro~3m SUNY SB",Medford,4.69,8415,35,4.8,4.6,4.8,4.7,4.6,4.7,2.0,0,1,0,1,0,0,1,0,1,0
Private oasis with pool steps away from the bay,Medford,5.0,77660,3,5.0,5.0,5.0,4.7,5.0,4.7,5.0,0,1,0,1,0,0,1,0,0,0
Beautiful Apartment,Medford,4.86,8905,7,5.0,4.6,5.0,5.0,4.9,5.0,4.0,1,1,1,0,0,0,1,1,0,0
UV Sanitized Queen bed~frig/micro~3 miles SUNYSB,Medford,4.57,6731,24,4.8,4.3,4.9,4.6,4.5,4.9,1.0,0,1,0,1,0,0,1,0,1,0
Charming cottage with a garden,Medford,4.8,46492,10,4.9,5.0,5.0,4.6,4.8,5.0,6.0,0,0,0,1,0,0,1,0,1,0
Private Apartment on River Ave. close to main st,Medford,4.74,23505,19,4.8,4.8,5.0,4.8,4.9,5.0,5.0,0,1,0,1,0,0,1,0,1,0
Private Barn in Westhampton Beach,Medford,4.95,25990,60,4.8,5.0,5.0,4.8,4.9,5.0,2.0,0,0,0,1,0,0,0,0,1,0
Beauty By the Bay,Medford,4.92,207093,26,4.8,4.8,5.0,4.6,4.9,5.0,12.0,0,1,0,1,0,0,1,0,1,0
Waterfront home with amazing views,Medford,5.0,56847,26,4.8,5.0,5.0,4.9,5.0,5.0,7.0,0,1,0,0,0,0,1,0,1,0
Family Friendly 4bd Hamptons House with pool,Medford,5.0,78005,30,4.9,5.0,5.0,4.9,5.0,5.0,7.0,0,1,0,1,0,0,1,0,1,0
Gorgeous Farmhouse with Heated Pool,Medford,4.97,90603,29,4.9,4.9,4.9,4.8,5.0,5.0,8.0,0,1,0,0,0,0,1,0,1,0
Villa Paraiso!! Majestic Waterfront Getaway,Medford,5.0,51514,8,5.0,5.0,5.0,4.9,4.9,5.0,8.0,0,1,0,0,0,0,1,0,0,0
"Clean&Cozy RM - interns, students, business travel",Medford,4.96,5281,27,4.9,5.0,5.0,4.9,5.0,5.0,1.0,0,1,0,1,0,0,1,0,1,0
THE MULBERRY OASIS,Medford,4.9,89050,10,5.0,4.9,4.8,4.5,4.8,4.9,10.0,0,1,0,1,0,0,1,0,1,0
The Unhampton,Medford,4.97,16464,207,4.9,5.0,5.0,4.9,5.0,5.0,2.0,0,1,0,1,0,0,1,0,0,0
Luxurious Beachfront home on the Bay/Amazing views,Medford,5.0,82733,154,5.0,5.0,5.0,4.8,5.0,5.0,6.0,0,1,0,0,0,0,1,0,0,0
"walk to bay, woods cottage",Medford,5.0,47010,8,4.9,5.0,4.9,4.8,5.0,5.0,4.0,0,1,0,0,0,0,1,0,0,0
Dune's View,Medford,5.0,170334,4,5.0,5.0,5.0,5.0,5.0,5.0,6.0,0,1,0,1,0,0,1,1,0,0
"NEW! Clean, Modern and breezy between the bays",Medford,5.0,196738,6,5.0,5.0,5.0,5.0,5.0,5.0,8.0,0,1,0,1,0,0,1,0,0,0
Waterfront Cottage on Private Estate,Medford,4.91,53464,47,4.9,4.9,4.9,4.7,4.8,4.9,4.0,0,1,0,1,0,0,1,0,0,0
Adorable Modern 2 BR APT Close to LIRR LIE &Lake,Medford,4.94,17589,17,4.5,4.9,5.0,4.7,4.7,5.0,5.0,0,0,0,1,0,0,1,0,1,0
Sprawling Modern Home Minutes from Beach,Medford,5.0,90603,10,4.9,5.0,5.0,5.0,5.0,5.0,10.0,0,1,0,1,0,0,1,0,1,0
Beautiful getaway in the Hamptons!,Medford,5.0,124256,8,4.9,4.9,5.0,4.6,5.0,5.0,6.0,0,1,0,1,0,0,1,0,1,0
North Fork Beachfront Modern With Spectacular View,Medford,4.78,62128,23,4.9,4.3,4.8,4.4,4.9,5.0,9.0,0,1,0,1,0,0,1,0,1,0
The Greenport Bungalow,Medford,4.97,51773,190,4.9,5.0,5.0,4.7,5.0,5.0,5.0,1,1,0,1,0,0,1,0,0,0
Beach Front Home,Medford,5.0,207093,5,5.0,5.0,5.0,4.8,5.0,5.0,8.0,0,1,0,1,0,0,1,0,0,0
"North Fork cottage, 5 min walk to the Peconic Bay!",Medford,5.0,34370,12,4.8,4.9,4.9,4.8,4.9,4.9,4.0,0,1,0,1,0,0,1,1,0,0
Sag Harbor House,Medford,4.86,100958,7,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1,1,0,1,0,0,1,0,0,0
"(ADULTS ONLY) Hampton 3 BDRM, 2 BTH Home w/Pool",Medford,4.82,51773,11,5.0,4.8,5.0,4.8,4.8,5.0,6.0,0,1,0,1,0,0,1,0,1,0
Cozy clean water front walk to beach.,Medford,5.0,37794,13,4.9,5.0,5.0,5.0,5.0,5.0,7.0,0,1,0,0,0,0,1,0,1,0
Apartment under the sea,Medford,5.0,10355,14,5.0,4.8,5.0,4.9,5.0,5.0,2.0,0,1,0,1,0,0,1,0,1,0
Vacation/work-cation with a water view.,Medford,4.98,36241,94,4.9,5.0,5.0,4.8,4.9,5.0,6.0,0,1,0,1,0,0,1,0,0,0
Walk to Bay and Ocean-Newly Renovated Apartment,Medford,4.98,33653,47,4.9,5.0,5.0,4.9,5.0,5.0,2.0,0,1,0,1,0,0,1,0,0,0
Bay's Edge Vacation Get a Way,Medford,4.77,31582,129,4.8,4.7,4.9,4.8,4.9,4.9,6.0,0,0,0,1,0,0,1,0,0,0
Contemporary spacious paradise w/huge pool,Medford,5.0,155216,3,5.0,5.0,5.0,5.0,5.0,5.0,10.0,0,1,0,0,0,0,1,0,1,0
Affordable Wine Country Cozy Cottage,Medford,4.83,36328,80,4.9,4.7,5.0,4.8,4.9,4.9,2.0,0,0,0,0,0,0,1,0,0,0
Luxe Westhampton Beach Home w/ Pool & Hot Tub,Medford,5.0,123324,6,5.0,5.0,5.0,5.0,4.8,5.0,8.0,0,1,0,1,0,0,1,0,0,0
Heart of the Hamptons,Medford,4.84,42454,85,4.8,4.9,5.0,4.8,4.9,5.0,6.0,0,1,0,1,0,0,1,0,1,0
Gorgeous Newly Renovated North Fork Estate w/pool,Medford,4.25,100958,8,4.9,4.2,4.6,4.2,4.4,4.5,10.0,0,1,0,1,0,0,1,1,0,0
"Cozy bungalow with  Pool, walk to Jitney and town",Medford,5.0,65579,8,5.0,5.0,5.0,4.9,5.0,5.0,4.0,0,1,0,1,0,0,1,1,0,0
Cope near the beach,Medford,4.89,33653,109,4.8,4.9,4.9,4.9,4.9,5.0,6.0,1,1,0,1,0,0,1,1,0,0
Hamptons Canal Front 3BDR-2BA House with boat dock,Medford,4.93,59021,14,5.0,4.9,5.0,4.8,5.0,5.0,6.0,0,1,0,1,0,0,1,0,0,0
Spectacular Ocean Views on Private Beach,Medford,5.0,124256,5,5.0,5.0,5.0,4.6,5.0,5.0,8.0,0,1,0,1,0,0,1,0,1,0
Stunning 3 BR / 2.5 New Construction with Pool,Medford,5.0,164121,7,5.0,5.0,5.0,5.0,5.0,5.0,6.0,0,1,0,1,0,0,1,1,0,0
Relaxing Art-Filled Sunny Cottage,Medford,5.0,62128,17,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1,1,0,0,0,0,1,0,1,0
Waterfront Escape With Heated Pool on Wine Trail,Medford,4.91,144965,11,5.0,5.0,5.0,4.7,4.9,5.0,8.0,0,1,0,0,0,0,1,0,0,0
Spacious & Bright Studio  - Near SBU & SB Hospital,Medford,4.94,10451,33,4.9,5.0,5.0,4.9,4.9,5.0,2.0,0,0,0,0,0,0,1,0,1,0
Brand New 2 Bed. apt. Close to SCCC & Stony Brook,Medford,5.0,18121,3,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1,1,0,1,0,0,1,0,1,0
Entire Guest Apartment! Updated!,Medford,4.46,22939,13,4.8,4.5,4.8,4.5,4.3,4.7,2.0,0,1,0,1,0,0,1,0,1,0
Large Waterfront Cottage on Historic Estate,Medford,4.74,56433,39,4.9,4.7,4.8,4.7,4.8,4.9,6.0,0,1,0,1,0,0,1,0,0,0
Sophisticated and Sweet,Medford,5.0,60575,19,5.0,5.0,5.0,4.8,5.0,5.0,6.0,0,1,0,1,0,0,1,0,1,0
Cozy Apartment with King Bed - Separate Entrance,Medford,4.86,9105,50,4.9,4.9,5.0,4.9,4.9,4.9,2.0,0,1,0,1,0,1,0,0,1,0
Nofo Bungalow-In The Heart of Greenport Village,Medford,4.98,67202,135,5.0,4.9,5.0,4.8,5.0,5.0,6.0,0,1,0,1,0,0,1,0,0,0
Casual Chic: Hamptons Wellness Minded Retreat Home,Medford,4.95,144965,74,4.8,4.9,5.0,4.7,5.0,5.0,9.0,0,1,0,1,0,0,1,0,0,0
Quiet Country Cape ON 3/4 of a ACRE With Pool,Medford,4.85,28993,33,4.9,4.4,4.8,4.7,4.8,4.8,4.0,0,1,0,1,0,0,1,1,0,0
Relax in this bright and cheerful Cottage.,Medford,5.0,23298,5,5.0,5.0,5.0,4.8,5.0,5.0,4.0,0,1,0,1,0,0,1,0,1,0
Beautiful House by the Lake!,Medford,4.75,102228,28,4.8,4.8,5.0,4.5,4.6,4.9,6.0,0,1,0,1,0,0,1,0,0,0
Beach Cottage in Greenport Village—walk to beach,Medford,4.81,41419,16,4.9,5.0,5.0,4.7,4.8,5.0,4.0,0,1,0,1,0,0,1,0,1,0
Adorable studio 1 queen size bed,Medford,4.56,9216,9,4.8,4.7,4.9,4.4,4.8,4.8,2.0,0,1,0,1,0,0,0,0,1,0
sunny  relaxing room,Medford,4.83,6731,12,4.6,4.5,4.4,4.1,4.8,4.7,1.0,0,1,0,1,0,0,0,0,1,0
Cute House with a Huge Deck near LI Sound,Medford,4.93,9837,29,4.9,4.8,5.0,5.0,4.9,5.0,2.0,0,1,0,1,0,0,1,0,0,0
Mastic Beach Surf House,Medford,5.0,49599,6,4.8,5.0,5.0,4.7,5.0,5.0,6.0,0,1,0,0,0,0,1,0,0,0
Mastic Beach Waterfront Designer Retreat For Rent,Medford,5.0,72482,25,4.8,4.9,5.0,4.9,5.0,5.0,6.0,0,1,0,1,0,0,1,0,0,0
WATERVIEW Cottage w/ PRIVATE BEACH ACCESS,Medford,4.87,33504,45,4.9,4.9,4.8,4.7,4.8,5.0,5.0,0,1,0,0,0,0,1,0,0,0
"Hampton Bays, renovated
V -home,new on the market",Medford,5.0,51670,7,4.9,5.0,5.0,4.9,5.0,5.0,6.0,0,1,0,1,0,0,1,0,0,0
Charming House with Pool,Medford,5.0,67305,4,5.0,5.0,5.0,4.8,5.0,5.0,4.0,0,1,0,1,0,0,1,0,1,0
Apres Sea : Renovated cottage close  to all,Medford,5.0,46078,33,5.0,4.9,5.0,4.9,5.0,4.9,4.0,0,1,0,1,0,0,1,1,0,0
Delightful Country House Escape,Medford,4.47,38312,20,4.6,4.3,4.6,4.5,4.7,4.5,6.0,1,1,0,1,0,0,1,0,0,0
The Dogwood Inn - An eclectic north shore retreat,Medford,4.97,19284,65,4.9,4.9,5.0,4.9,5.0,5.0,5.0,0,1,0,0,0,0,1,0,1,0
A blissful place in Bridgehampton,Medford,4.88,75140,53,4.9,4.9,4.8,4.9,4.9,4.9,6.0,0,1,0,1,0,0,1,0,1,0
Modern Sag Harbor Home,Medford,4.89,103547,47,5.0,4.8,4.9,4.7,5.0,5.0,6.0,0,1,0,1,0,0,1,0,0,0
Modern and Bright 4 Bedroom with Pool,Medford,5.0,124256,25,5.0,4.9,4.9,5.0,5.0,5.0,6.0,0,1,0,1,0,0,1,0,1,0
Your own quiet retreat in the Hamptons,Medford,5.0,51255,18,4.8,4.9,5.0,4.9,5.0,5.0,4.0,0,1,0,1,0,0,1,1,0,0
CASA GREENPORT - 6BD/3BA - Chic Home in Village,Medford,5.0,155216,6,5.0,5.0,5.0,4.7,5.0,5.0,11.0,0,1,0,1,0,0,1,0,1,0
"*10% Off-Season Discount* Jacuzzi, 7min to EH+Sag",Medford,4.96,287565,45,4.9,4.9,5.0,4.8,4.9,5.0,8.0,0,1,0,1,0,0,1,0,1,0
Relaxing North Fork cottage on the water,Medford,4.7,31064,10,4.7,4.6,5.0,4.8,4.7,5.0,5.0,0,1,0,1,0,0,1,1,0,0
Clean bedroom,Medford,4.87,7428,23,5.0,4.9,5.0,4.7,4.9,5.0,2.0,0,0,0,0,0,0,1,0,0,0
Great Location Walk to Town Heated Pool,Medford,5.0,141168,12,5.0,5.0,5.0,4.5,5.0,5.0,8.0,0,1,0,1,0,0,1,0,0,0
Lovely House with completely private back yard,Medford,4.86,40073,7,4.9,4.7,5.0,4.9,5.0,4.9,6.0,0,0,0,1,0,0,1,0,1,0
Provence on the North Fork,Medford,5.0,186383,18,5.0,5.0,5.0,4.8,5.0,5.0,6.0,0,1,0,1,0,0,1,0,0,0
"1Bd, 1.5Ba Cottage with Waterviews in Hampton Bays",Medford,5.0,41419,10,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0,1,0,1,0,0,1,0,0,0
Private Luxury East Hampton Oasis w/Pool,Medford,4.9,129433,10,4.7,5.0,5.0,4.9,4.9,5.0,10.0,1,1,0,1,0,0,1,0,0,0
"Charming, Cozy Hamptons Escape. Walk to Town/Beach",Medford,4.75,103029,5,5.0,5.0,5.0,4.5,5.0,5.0,6.0,0,1,0,1,0,0,1,0,0,0
"Estate Area SH, 5 bedrooms w/pool - New Photos!",Medford,5.0,414185,3,5.0,4.7,5.0,4.7,5.0,5.0,11.0,0,1,0,1,0,0,1,0,1,0
Peaceful Greenport Apt. w/Private Yard + Patio,Medford,5.0,28889,12,5.0,5.0,5.0,4.9,5.0,5.0,2.0,1,1,0,1,0,0,1,0,1,0
Hamptons Hideaway - Minutes from the Beach!,Medford,4.0,46596,8,4.4,4.5,4.5,3.9,4.0,4.8,6.0,1,1,0,0,0,0,1,0,1,0
Monthly Rentals: East End Retreat - Steps to Beach,Medford,4.76,70888,37,4.7,4.8,4.9,4.4,4.7,4.9,8.0,0,1,0,0,0,0,1,0,1,0
"Walk to Water, New Pool, Perfect Family Retreat!",Medford,5.0,98369,3,5.0,4.7,5.0,5.0,5.0,5.0,7.0,1,1,0,1,0,0,1,0,0,0
Hawkins Castle,Medford,4.7,88708,10,5.0,4.3,5.0,4.6,4.7,5.0,10.0,1,1,0,1,0,0,1,0,0,0
Contempory Pool Home,Medford,4.75,75071,4,5.0,4.8,5.0,4.2,4.8,5.0,8.0,0,1,0,1,0,0,1,0,1,0
Lovely House - Private Beach Access - North Fork,Medford,4.46,78098,13,4.7,4.5,4.8,4.5,4.5,4.8,8.0,0,1,0,0,0,0,1,0,1,0
Sag Harbor Getaway-Now Booking 2023 Stays!,Medford,4.88,157908,43,5.0,5.0,5.0,4.9,5.0,5.0,8.0,0,1,0,1,0,0,1,0,0,0
Chic modern home with pool and expansive views,Medford,4.97,150142,34,4.9,4.9,5.0,4.8,4.9,5.0,8.0,0,1,0,0,0,0,1,0,1,0
"Joyful, bright, serene,  7 miles to West Hampton!",Medford,5.0,136832,9,5.0,5.0,5.0,5.0,5.0,5.0,10.0,0,1,0,1,0,0,1,1,0,0
NOFO Beach House - Winter Fun!,Medford,4.93,42765,44,5.0,5.0,5.0,4.9,5.0,5.0,5.0,0,1,0,0,0,0,1,0,1,0
North Fork Ranch w/Deeded Beach & Windows Galore,Medford,5.0,51773,3,4.7,5.0,5.0,4.7,4.7,5.0,6.0,0,1,0,0,0,0,1,0,1,0
Blue Sky in the Bays,Medford,4.83,83976,6,5.0,5.0,5.0,4.7,4.3,5.0,14.0,0,1,0,1,0,0,1,0,0,0
Hampton's Haven,Medford,4.92,163431,122,4.9,4.9,5.0,4.8,5.0,5.0,10.0,0,1,0,0,0,0,1,0,1,0
Bellport 4bd | 2 ba | Pool | Deck+Yard | Outdr Shw,Medford,4.95,106135,37,4.8,5.0,5.0,4.8,5.0,5.0,8.0,0,1,0,0,0,0,1,0,0,0
Serene  sanctuary on the Long Island sound,Medford,5.0,155320,7,5.0,4.7,4.6,4.9,4.9,5.0,4.0,0,1,0,1,0,0,1,0,1,0
The Melody Too,Medford,5.0,56951,41,5.0,5.0,5.0,4.7,5.0,5.0,4.0,0,1,0,0,0,0,1,0,1,0
Private Hampton Bays Getaway Near Cooper's Beach!,Medford,4.2,62407,5,5.0,3.8,4.2,4.2,4.4,4.0,8.0,0,1,0,0,0,0,1,0,1,0
Hampton Oasis with heated pool and lush landscape,Medford,4.89,193428,27,4.8,4.8,5.0,4.8,4.9,5.0,12.0,0,0,0,1,0,0,1,0,1,0
"Modern, Chic, Tulip House with a large heated pool",Medford,5.0,82837,3,4.7,5.0,5.0,5.0,5.0,5.0,6.0,0,1,0,0,0,0,1,0,1,0
Bordeaux meets Côte d’Azur—1763 Historic Farmhouse,Medford,5.0,56951,13,5.0,5.0,5.0,4.8,4.8,5.0,6.0,0,1,0,0,0,0,1,0,1,0
Stunning waterfront modern farmhouse with dock.,Medford,5.0,97644,23,5.0,5.0,5.0,4.9,5.0,5.0,8.0,0,1,0,0,0,0,1,0,0,0
Minutes to Beach/New Saltwater Pool- Heated,Medford,5.0,95863,4,5.0,5.0,5.0,5.0,5.0,5.0,6.0,0,1,0,0,0,0,1,0,1,0
Perfection in Sag Harbor | 5 BR 1 block from beach,Medford,4.99,301168,69,4.9,5.0,5.0,4.9,4.9,5.0,14.0,0,1,0,0,0,0,1,0,1,0
Bayside Cottage-Cozy North Fork Gem,Medford,4.75,44007,4,4.8,5.0,5.0,4.0,4.5,5.0,6.0,1,1,0,1,0,0,1,0,0,0
Sag Harbor Artist's Home,Medford,4.86,191561,7,5.0,4.9,5.0,4.4,5.0,5.0,6.0,0,1,0,1,0,0,1,0,1,0
Spacious 5 BR Beach House w/ Pool,Medford,5.0,165674,4,5.0,5.0,5.0,5.0,5.0,5.0,10.0,0,1,0,1,0,0,1,0,1,0
Gorgeous 4br vacation home steps from the water,Medford,5.0,62128,3,4.7,5.0,5.0,4.7,5.0,5.0,8.0,0,1,0,0,0,0,1,0,1,0
3BR in Sag Harbor Village w/ Heated Saltwater Pool,Medford,5.0,195012,9,4.9,5.0,5.0,4.4,4.9,5.0,6.0,0,0,0,1,0,0,1,0,1,0
Fab house: check! Summer paradise: check!,Medford,5.0,75071,5,5.0,5.0,5.0,5.0,5.0,5.0,8.0,0,1,0,1,0,0,1,0,1,0
Hamptons Getaway/ Backyard OASIS/Monthly available,Medford,5.0,64716,32,5.0,4.9,5.0,4.9,5.0,5.0,4.0,0,1,0,1,0,0,1,0,1,0
"Beach Cottage by the Sea: Water Views, Private bea",Medford,4.57,26781,8,4.7,4.5,4.9,4.7,4.0,5.0,2.0,0,1,0,0,0,0,1,1,0,0
"Huge Modern Loft in North Fork, L.I. Wine Country",Medford,4.95,88532,43,4.9,5.0,5.0,4.9,5.0,5.0,14.0,0,0,0,0,0,0,1,0,0,0
"Modern, spacious SI home with pool",Medford,4.97,101475,69,5.0,5.0,5.0,4.8,5.0,5.0,8.0,0,0,0,1,0,0,1,0,1,0
Clean Sanitzd Mstr bdrm~frig/micro~3 miles SUNY SB,Medford,4.7,7248,31,4.9,4.7,4.9,4.8,4.8,5.0,2.0,0,1,0,0,0,0,1,0,1,0
Contemporary 3-Bedroom beach house w/ huge yard!,Medford,5.0,155320,8,5.0,5.0,5.0,4.9,5.0,5.0,6.0,0,1,0,1,0,0,1,0,1,0
Two cozy 2nd floor Bedrooms near Beach & Vineyards,Medford,5.0,24748,6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,1,0,1,0,0,1,0,1,0
New Cons Wooded Oasis and Guest House in Hamptons!,Medford,5.0,151602,11,5.0,4.9,5.0,5.0,5.0,5.0,10.0,0,1,0,1,0,0,1,0,0,0
Charming 3-bdrm bungalow with private bay beach,Medford,5.0,65579,23,5.0,5.0,5.0,4.9,5.0,5.0,6.0,0,0,0,0,0,0,1,0,0,0
North Fork - Huge Outdoor Area & Walk to Vineyards,Medford,4.94,42972,31,5.0,5.0,4.9,4.8,5.0,4.9,6.0,0,1,0,0,0,0,1,0,1,0
Beach front house,Medford,4.62,82837,13,4.8,4.6,4.9,4.4,4.5,5.0,6.0,0,1,0,0,0,0,1,0,1,0
Newly Furnished Home - Walking Distance to Beach,Medford,4.92,202702,13,5.0,5.0,5.0,4.5,5.0,5.0,10.0,0,1,0,0,0,0,1,0,1,0
For Families & Couples- East Hampton,Medford,4.96,149625,26,4.9,5.0,5.0,4.9,5.0,5.0,6.0,0,1,0,1,0,0,1,0,1,0
Large home walking distance to the beach,Medford,5.0,59125,4,4.5,4.8,5.0,4.8,4.8,5.0,8.0,1,1,0,1,0,0,1,0,0,0
Adorable guest cottage,Medford,4.66,19608,38,4.8,4.6,4.8,4.5,4.7,4.9,4.0,0,1,0,1,0,0,1,0,1,0
"Beach waterview, golf putting green, 3 KING beds",Medford,5.0,189355,3,5.0,5.0,5.0,5.0,5.0,5.0,14.0,0,0,0,0,0,0,1,0,0,0
North Fork Scandinavian Bungalow with heated pool.,Medford,5.0,77660,16,4.9,4.9,4.9,4.7,5.0,4.9,4.0,0,1,0,1,0,0,1,1,0,0
RJB Rooms Patchogue Village close,Medford,4.36,8077,27,4.6,4.0,4.8,4.4,4.4,4.7,2.0,0,1,0,1,0,0,1,0,1,0
Southampton Village 5-Bedroom with Pool,Medford,5.0,183795,5,5.0,5.0,5.0,4.6,5.0,5.0,10.0,1,1,0,1,0,0,1,0,0,0
The Palm Tree INN  2nd Floor Suite,Medford,4.87,10489,481,4.8,5.0,4.9,4.9,4.9,4.9,4.0,0,1,0,1,0,1,0,0,1,0
Hamptons Home with Saltwater Pool,Medford,4.94,124190,33,4.9,4.9,5.0,4.7,4.9,5.0,8.0,0,1,0,1,0,0,1,0,1,0
Brand new Hamptons beach house w/gunite pool & spa,Medford,5.0,272672,3,5.0,5.0,5.0,5.0,5.0,5.0,8.0,0,1,0,1,0,0,1,0,1,0
Hamptons Sag Harbor Village Beach,Medford,5.0,103547,18,5.0,4.9,5.0,4.7,4.9,5.0,8.0,0,1,0,1,0,0,1,1,0,0
"Bellport/E. Patchogue, NY  private beach!",Medford,5.0,93192,6,5.0,4.7,5.0,4.8,5.0,5.0,6.0,0,1,0,1,0,0,1,0,0,0
